,VPN,Date,Depart,Arrivé,Prix,Temps de vol,Heure de départ,Heure d'arrivé,Nombre d'escales,Compagnies
0,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",309 €,13h 15m,21:45,18:00,1 escale,Plusieurs compagnies
1,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",339 €,14h 45m,21:45,19:30,1 escale,Plusieurs compagnies
2,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",326 €,17h 0m,18:00,18:00,2 escales,Plusieurs compagnies
3,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",339 €,18h 30m,18:00,19:30,2 escales,Plusieurs compagnies
4,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",318 €,20h 47m,09:43,13:30,2 escales,Plusieurs compagnies
5,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",318 €,20h 47m,09:43,13:30,2 escales,Plusieurs compagnies
6,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",500 €,13h 15m,23:15,19:30,1 escale,Plusieurs compagnies
7,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",603 €,11h 0m,20:05,14:05,1 escale,Air Canada
8,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",604 €,11h 0m,20:05,14:05,1 escale,Lufthansa
9,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",607 €,11h 0m,20:05,14:05,1 escale,Plusieurs compagnies
10,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",477 €,14h 30m,20:30,18:00,1 escale,Plusieurs compagnies
11,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",395 €,18h 0m,21:15,22:15,2 escales,Plusieurs compagnies
12,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",620 €,11h 55m,21:30,16:25,1 escale,Air Canada
13,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",620 €,11h 55m,21:30,16:25,1 escale,Lufthansa
14,Liechtenstein,31/01/2023,"Aéroport international Pearson de Toronto, Toronto, ON, Canada","Aéroport international d'Athènes Elefthérios-Venizélos, Athènes, Grèce",620 €,12h 0m,18:15,13:15,1 escale,Air Canada
